user_id,zone_date,zone_score,zone_focus,zone_calm,zone_posture,create_date,update_date
tamabi003@test-lifeinterview.jp,5/18/16,,23,36,61,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,34,18,75,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,41,1,40,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,31,11,34,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,39,16,51,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,32,53,22,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,59,14,39,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,40,0,60,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,80,4,30,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,58,15,28,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,53,19,24,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,54,26,29,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,42,24,27,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,59,53,70,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,54,10,35,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,46,31,34,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,44,15,33,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,36,3,48,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,35,7,23,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,38,4,41,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,37,5,55,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,38,0,60,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,48,9,65,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,35,6,51,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,26,0,36,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,51,30,33,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,69,0,30,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,50,24,24,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,48,28,36,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,47,10,58,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,48,72,57,5/18/16,5/18/16
tamabi003@test-lifeinterview.jp,5/18/16,,31,64,75,5/18/16,5/18/16
