user_id,zone_date,zone_score,zone_focus,zone_calm,zone_posture,create_date,update_date
tamabi012,5/17/16,,20,10,65,5/17/16,5/17/16
tamabi012,5/17/16,,20,10,65,5/19/16,5/19/16
tamabi012,5/17/16,,0,0,0,5/20/16,5/20/16
tamabi012,5/17/16,,3,65,37,5/17/16,5/17/16
tamabi012,5/17/16,,3,65,37,5/19/16,5/19/16
tamabi012,5/17/16,,3,65,37,5/20/16,5/20/16
tamabi012,5/17/16,,6,52,40,5/17/16,5/17/16
tamabi012,5/17/16,,6,52,40,5/19/16,5/19/16
tamabi012,5/17/16,,6,52,40,5/20/16,5/20/16
tamabi012,5/17/16,,13,43,23,5/17/16,5/17/16
tamabi012,5/17/16,,13,43,23,5/19/16,5/19/16
tamabi012,5/17/16,,13,43,23,5/20/16,5/20/16
tamabi012,5/17/16,,13,86,27,5/17/16,5/17/16
tamabi012,5/17/16,,13,86,27,5/19/16,5/19/16
tamabi012,5/17/16,,13,86,27,5/20/16,5/20/16
tamabi012,5/17/16,,25,76,46,5/17/16,5/17/16
tamabi012,5/17/16,,25,76,46,5/19/16,5/19/16
tamabi012,5/17/16,,25,76,46,5/20/16,5/20/16
tamabi012,5/17/16,,44,68,32,5/17/16,5/17/16
tamabi012,5/17/16,,44,68,32,5/19/16,5/19/16
tamabi012,5/17/16,,44,68,32,5/20/16,5/20/16
tamabi012,5/17/16,,32,68,25,5/17/16,5/17/16
tamabi012,5/17/16,,32,68,25,5/19/16,5/19/16
tamabi012,5/17/16,,32,68,25,5/20/16,5/20/16
tamabi012,5/17/16,,38,61,46,5/17/16,5/17/16
tamabi012,5/17/16,,38,61,46,5/19/16,5/19/16
tamabi012,5/17/16,,38,61,46,5/20/16,5/20/16
tamabi012,5/17/16,,40,38,65,5/17/16,5/17/16
tamabi012,5/17/16,,40,38,65,5/19/16,5/19/16
tamabi012,5/17/16,,40,38,65,5/20/16,5/20/16
tamabi012,5/17/16,,40,42,47,5/17/16,5/17/16
tamabi012,5/17/16,,40,42,47,5/19/16,5/19/16
tamabi012,5/17/16,,40,42,47,5/20/16,5/20/16
tamabi012,5/17/16,,29,49,61,5/17/16,5/17/16
tamabi012,5/17/16,,29,49,61,5/19/16,5/19/16
tamabi012,5/17/16,,29,49,61,5/20/16,5/20/16
tamabi012,5/17/16,,56,29,59,5/17/16,5/17/16
tamabi012,5/17/16,,56,29,59,5/19/16,5/19/16
tamabi012,5/17/16,,56,29,59,5/20/16,5/20/16
tamabi012,5/17/16,,44,32,64,5/17/16,5/17/16
tamabi012,5/17/16,,44,32,64,5/19/16,5/19/16
tamabi012,5/17/16,,44,32,64,5/20/16,5/20/16
tamabi012,5/17/16,,37,32,51,5/17/16,5/17/16
tamabi012,5/17/16,,37,32,51,5/19/16,5/19/16
tamabi012,5/17/16,,37,32,51,5/20/16,5/20/16
tamabi012,5/17/16,,36,38,25,5/17/16,5/17/16
tamabi012,5/17/16,,36,38,25,5/19/16,5/19/16
tamabi012,5/17/16,,36,38,25,5/20/16,5/20/16
tamabi012,5/17/16,,42,21,32,5/17/16,5/17/16
tamabi012,5/17/16,,42,21,32,5/19/16,5/19/16
tamabi012,5/17/16,,42,21,32,5/20/16,5/20/16
tamabi012,5/17/16,,54,9,24,5/17/16,5/17/16
tamabi012,5/17/16,,54,9,24,5/19/16,5/19/16
tamabi012,5/17/16,,54,9,24,5/20/16,5/20/16
tamabi012,5/17/16,,41,17,57,5/17/16,5/17/16
tamabi012,5/17/16,,41,17,57,5/19/16,5/19/16
tamabi012,5/17/16,,41,17,57,5/20/16,5/20/16
tamabi012,5/17/16,,42,47,50,5/17/16,5/17/16
tamabi012,5/17/16,,42,47,50,5/19/16,5/19/16
tamabi012,5/17/16,,42,47,50,5/20/16,5/20/16
tamabi012,5/17/16,,33,52,67,5/17/16,5/17/16
tamabi012,5/17/16,,33,52,67,5/19/16,5/19/16
tamabi012,5/17/16,,33,52,67,5/20/16,5/20/16
tamabi012,5/17/16,,42,45,70,5/17/16,5/17/16
tamabi012,5/17/16,,42,45,70,5/19/16,5/19/16
tamabi012,5/17/16,,42,45,70,5/20/16,5/20/16
tamabi012,5/17/16,,47,20,23,5/17/16,5/17/16
tamabi012,5/17/16,,47,20,23,5/19/16,5/19/16
tamabi012,5/17/16,,47,20,23,5/20/16,5/20/16
tamabi012,5/17/16,,49,6,16,5/17/16,5/17/16
tamabi012,5/17/16,,49,6,16,5/19/16,5/19/16
tamabi012,5/17/16,,49,6,16,5/20/16,5/20/16
tamabi012,5/17/16,,46,28,26,5/17/16,5/17/16
tamabi012,5/17/16,,46,28,26,5/19/16,5/19/16
tamabi012,5/17/16,,46,28,26,5/20/16,5/20/16
tamabi012,5/17/16,,43,15,14,5/17/16,5/17/16
