user_id,zone_date,zone_score,zone_focus,zone_calm,zone_posture,create_date,update_date
tamabi005,5/17/16,,41,0,53,5/17/16,5/17/16
tamabi005,5/17/16,,46,2,34,5/17/16,5/17/16
tamabi005,5/17/16,,25,29,41,5/17/16,5/17/16
tamabi005,5/17/16,,24,36,16,5/17/16,5/17/16
tamabi005,5/17/16,,100,31,21,5/17/16,5/17/16
tamabi005,5/17/16,,100,31,27,5/17/16,5/17/16
tamabi005,5/17/16,,73,55,45,5/17/16,5/17/16
tamabi005,5/17/16,,71,80,18,5/17/16,5/17/16
tamabi005,5/17/16,,91,78,33,5/17/16,5/17/16
tamabi005,5/17/16,,74,88,65,5/17/16,5/17/16
tamabi005,5/17/16,,53,72,75,5/17/16,5/17/16
tamabi005,5/17/16,,76,56,73,5/17/16,5/17/16
tamabi005,5/17/16,,78,60,26,5/17/16,5/17/16
tamabi005,5/17/16,,67,55,31,5/17/16,5/17/16
tamabi005,5/17/16,,52,13,24,5/17/16,5/17/16
tamabi005,5/17/16,,52,24,24,5/17/16,5/17/16
tamabi005,5/17/16,,85,87,42,5/17/16,5/17/16
tamabi005,5/17/16,,76,21,54,5/17/16,5/17/16
tamabi005,5/17/16,,63,0,39,5/17/16,5/17/16
tamabi005,5/17/16,,100,0,9,5/17/16,5/17/16
tamabi005,5/17/16,,100,4,6,5/17/16,5/17/16
tamabi005,5/17/16,,100,1,19,5/17/16,5/17/16
tamabi005,5/17/16,,100,0,37,5/17/16,5/17/16
tamabi005,5/17/16,,73,13,57,5/17/16,5/17/16
tamabi005,5/17/16,,40,18,64,5/17/16,5/17/16
tamabi005,5/17/16,,100,0,62,5/17/16,5/17/16
tamabi005,5/17/16,,68,0,54,5/17/16,5/17/16
tamabi005,5/17/16,,27,0,30,5/17/16,5/17/16
tamabi005,5/17/16,,100,0,33,5/17/16,5/17/16
tamabi005,5/17/16,,100,0,36,5/17/16,5/17/16
tamabi005,5/17/16,,18,2,34,5/17/16,5/17/16
tamabi005,5/17/16,,9,42,39,5/17/16,5/17/16
tamabi005,5/17/16,,68,42,34,5/17/16,5/17/16
tamabi005,5/17/16,,98,42,44,5/17/16,5/17/16
tamabi005,5/17/16,,44,64,46,5/17/16,5/17/16
tamabi005,5/17/16,,35,72,55,5/17/16,5/17/16
