user_id,zone_date,zone_score,zone_focus,zone_calm,zone_posture,create_date,update_date
tamabi018,5/17/16,,35,43,26,5/17/16,5/17/16
tamabi018,5/17/16,,29,37,32,5/17/16,5/17/16
tamabi018,5/17/16,,35,15,38,5/17/16,5/17/16
tamabi018,5/17/16,,33,37,59,5/17/16,5/17/16
tamabi018,5/17/16,,29,58,71,5/17/16,5/17/16
tamabi018,5/17/16,,26,83,81,5/17/16,5/17/16
tamabi018,5/17/16,,36,47,74,5/17/16,5/17/16
tamabi018,5/17/16,,36,51,66,5/17/16,5/17/16
tamabi018,5/17/16,,53,41,44,5/17/16,5/17/16
tamabi018,5/17/16,,33,38,65,5/17/16,5/17/16
tamabi018,5/17/16,,53,81,45,5/17/16,5/17/16
tamabi018,5/17/16,,69,25,57,5/17/16,5/17/16
tamabi018,5/17/16,,21,69,52,5/17/16,5/17/16
tamabi018,5/17/16,,20,66,42,5/17/16,5/17/16
tamabi018,5/17/16,,29,35,38,5/17/16,5/17/16
tamabi018,5/17/16,,26,50,55,5/17/16,5/17/16
tamabi018,5/17/16,,21,56,54,5/17/16,5/17/16
tamabi018,5/17/16,,45,60,64,5/17/16,5/17/16
tamabi018,5/17/16,,100,37,17,5/17/16,5/17/16
tamabi018,5/17/16,,73,41,30,5/17/16,5/17/16
tamabi018,5/17/16,,12,85,60,5/17/16,5/17/16
tamabi018,5/17/16,,15,16,66,5/17/16,5/17/16
tamabi018,5/17/16,,4,5,52,5/17/16,5/17/16
tamabi018,5/17/16,,67,54,45,5/17/16,5/17/16
tamabi018,5/17/16,,52,13,74,5/17/16,5/17/16
tamabi018,5/17/16,,50,30,51,5/17/16,5/17/16
tamabi018,5/17/16,,50,58,32,5/17/16,5/17/16
tamabi018,5/17/16,,49,36,33,5/17/16,5/17/16
tamabi018,5/17/16,,30,59,36,5/17/16,5/17/16
tamabi018,5/17/16,,38,26,52,5/17/16,5/17/16
tamabi018,5/17/16,,79,2,60,5/17/16,5/17/16
tamabi018,5/17/16,,62,32,66,5/17/16,5/17/16
tamabi018,5/17/16,,92,15,76,5/17/16,5/17/16
tamabi018,5/17/16,,43,39,73,5/17/16,5/17/16
tamabi018,5/17/16,,45,20,76,5/17/16,5/17/16
tamabi018,5/17/16,,41,39,74,5/17/16,5/17/16
tamabi018,5/17/16,,20,14,71,5/17/16,5/17/16
tamabi018,5/17/16,,24,7,68,5/17/16,5/17/16
tamabi018,5/17/16,,31,9,70,5/17/16,5/17/16
tamabi018,5/17/16,,34,5,70,5/17/16,5/17/16
tamabi018,5/17/16,,22,13,70,5/17/16,5/17/16
tamabi018,5/17/16,,51,12,68,5/17/16,5/17/16
tamabi018,5/17/16,,51,4,61,5/17/16,5/17/16
tamabi018,5/17/16,,40,2,53,5/17/16,5/17/16
tamabi018,5/17/16,,35,0,42,5/17/16,5/17/16
tamabi018,5/17/16,,96,0,27,5/17/16,5/17/16
tamabi018,5/17/16,,77,6,53,5/17/16,5/17/16
tamabi018,5/17/16,,15,5,20,5/17/16,5/17/16
tamabi018,5/17/16,,19,62,41,5/17/16,5/17/16
tamabi018,5/17/16,,19,60,71,5/17/16,5/17/16
tamabi018,5/17/16,,23,49,83,5/17/16,5/17/16
tamabi018,5/17/16,,34,45,78,5/17/16,5/17/16
tamabi018,5/17/16,,50,40,72,5/17/16,5/17/16
tamabi018,5/17/16,,50,34,74,5/17/16,5/17/16
tamabi018,5/17/16,,37,67,76,5/17/16,5/17/16
tamabi018,5/17/16,,36,80,73,5/17/16,5/17/16
tamabi018,5/17/16,,38,41,48,5/17/16,5/17/16
tamabi018,5/17/16,,36,57,72,5/17/16,5/17/16
tamabi018,5/17/16,,44,48,72,5/17/16,5/17/16
tamabi018,5/17/16,,39,38,69,5/17/16,5/17/16
tamabi018,5/17/16,,45,29,73,5/17/16,5/17/16
tamabi018,5/17/16,,30,27,67,5/17/16,5/17/16
tamabi018,5/17/16,,29,39,66,5/17/16,5/17/16
tamabi018,5/17/16,,35,46,69,5/17/16,5/17/16
tamabi018,5/17/16,,38,31,43,5/17/16,5/17/16
tamabi018,5/17/16,,41,51,44,5/17/16,5/17/16
tamabi018,5/17/16,,39,52,55,5/17/16,5/17/16
tamabi018,5/17/16,,34,32,68,5/17/16,5/17/16
tamabi018,5/17/16,,29,24,70,5/17/16,5/17/16
tamabi018,5/17/16,,42,50,75,5/17/16,5/17/16
tamabi018,5/17/16,,42,47,75,5/17/16,5/17/16
tamabi018,5/17/16,,33,33,64,5/17/16,5/17/16
tamabi018,5/17/16,,62,72,72,5/17/16,5/17/16
tamabi018,5/17/16,,86,20,54,5/17/16,5/17/16
tamabi018,5/17/16,,66,49,58,5/17/16,5/17/16
tamabi018,5/17/16,,34,45,45,5/17/16,5/17/16
tamabi018,5/17/16,,54,32,73,5/17/16,5/17/16
tamabi018,5/17/16,,51,21,61,5/17/16,5/17/16
